"X".	"Y".	"Species".	"Diam"
"939".	17.68.	69.52.	"PISY".	16.1
"940".	22.28.	65.92.	"PISY".	16.29
"941".	18.95.	64.86.	"PISY".	16.56
"942".	21.14.	74.95.	"PISY".	8.83
"943".	22.5.	76.3.	"PISY".	9.27
"944".	16.28.	74.81.	"PISY".	10.01
"945".	17.16.	79.47.	"PISY".	10.6
"946".	23.28.	72.59.	"PISY".	10.99
"947".	17.53.	73.4.	"PISY".	11.02
"948".	19.7.	72.65.	"PISY".	11.13
"949".	16.18.	75.87.	"PISY".	11.14
"950".	20.83.	74.66.	"PISY".	11.16
"951".	17.95.	72.32.	"PISY".	11.47
"952".	19.42.	72.2.	"PISY".	12.61
"953".	17.74.	75.23.	"PISY".	13.71
"954".	17.7.	76.51.	"PISY".	13.76
"955".	22.46.	75.09.	"PISY".	15.17
"956".	22.56.	79.27.	"PISY".	15.37
"957".	20.86.	77.15.	"PISY".	15.47
"958".	20.16.	78.94.	"PISY".	16.68
"1205".	27.	4.19.	"PISY".	8.77
"1206".	25.46.	1.31.	"PISY".	9.77
"1207".	29.08.	2.63.	"PISY".	10.03
"1208".	24.12.	4.35.	"PISY".	11.61
"1209".	30.4.	7.	"PISY".	11.81
"1210".	27.4.	7.67.	"PISY".	12.21
"1211".	29.9.	7.78.	"PISY".	14.59
"1212".	30.08.	5.17.	"PISY".	15.24
"1213".	28.18.	5.67.	"PISY".	15.73
"1214".	30.87.	7.51.	"PISY".	15.79
"1215".	30.24.	0.53.	"PISY".	16.16
"1216".	30.14.	7.19.	"PISY".	16.53
"1217".	28.	6.13.	"PISY".	17.22
"1218".	27.52.	3.98.	"PISY".	17.31
"1219".	25.36.	5.91.	"PISY".	17.34
"1220".	31.35.	7.54.	"PISY".	17.35
"1221".	24.06.	13.32.	"PISY".	7.59
"1222".	31.13.	9.38.	"PISY".	8.34
"1223".	29.51.	14.19.	"PISY".	8.54
"1224".	26.21.	8.49.	"PISY".	9.31
"1225".	25.63.	11.85.	"PISY".	9.83
"1226".	31.87.	14.54.	"PISY".	11.16
"1227".	25.3.	13.08.	"PISY".	11.4
"1228".	27.98.	9.49.	"PISY".	12.21
"1229".	26.65.	14.44.	"PISY".	12.66
"1230".	24.5.	12.24.	"PISY".	13.08
"1231".	26.83.	13.33.	"PISY".	13.25
"1232".	30.52.	8.69.	"PISY".	14.25
"1233".	24.86.	14.02.	"PISY".	14.66
"1234".	24.47.	12.71.	"PISY".	14.95
"1235".	27.47.	13.28.	"PISY".	15.26
"1236".	26.42.	10.83.	"PISY".	15.37
"1237".	24.27.	12.94.	"PISY".	15.64
"1238".	29.74.	8.28.	"PISY".	15.68
"1239".	28.8.	9.83.	"PISY".	16.59
"1240".	26.5.	11.46.	"PISY".	16.66
"1241".	24.88.	8.58.	"PISY".	16.93
"1242".	29.67.	12.73.	"PISY".	16.95
"1243".	29.26.	16.42.	"PISY".	7.65
"1244".	30.77.	23.71.	"PISY".	9.27
"1245".	28.83.	19.7.	"PISY".	9.49
"1246".	30.71.	19.69.	"PISY".	12.41
"1247".	29.54.	20.04.	"PISY".	12.49
"1248".	25.3.	23.59.	"PISY".	15.2
"1249".	26.53.	22.13.	"PISY".	15.21
